id,year,month,category,type,amount
693,2026,5,清點差額,expense,251.0
694,2026,5,美容美髮,expense,150.0
695,2026,5,服飾配件,expense,754.0
696,2026,5,日用品,expense,194.0
697,2026,5,其他,expense,300.0
698,2026,5,網路雲端服務,expense,90.0
699,2026,5,存款利息,income,466.0
700,2026,5,學習,expense,2839.0
701,2026,5,醫療,expense,100.0
702,2026,5,代付,expense,158.0
703,2026,5,工資,income,28565.0
704,2026,6,影印,expense,30.0
705,2026,6,日用品,expense,340.0
706,2026,6,飲食,expense,2697.0
707,2026,6,卡片儲值,expense,500.0
708,2026,6,通勤交通,expense,637.0
709,2026,6,美容美髮,expense,300.0
710,2026,6,其他,expense,143.0
711,2026,6,獎金,income,2200.0
712,2026,6,加油,expense,262.0
713,2026,6,約會/請客,expense,3149.0
714,2026,6,清點差額,expense,280.0
715,2026,6,存款利息,income,485.0
716,2026,6,租金,expense,31539.0
717,2026,6,郵資/行政手續費,expense,1540.0
718,2026,6,工資,income,22713.0
719,2026,7,飲食,expense,526.0
720,2026,7,他人還款,income,600.0
721,2026,7,代付,expense,1200.0
722,2026,7,清點差額,expense,30.0
