日期,從帳戶,轉出金額,幣別,到帳戶,轉入金額,幣別,標籤,備註,上次更新,UUID
20260327,國泰子帳戶,970,TWD,元大50,970,TWD,,,2026-03-27 20:29:27,94E49AC6-5E80-41CA-92C7-E77527046E10
20260327,Bankee,2000,TWD,錢包,2000,TWD,,,2026-03-27 17:58:07,CD97A057-B7EB-49A2-A363-955238C6D918
20260324,國泰子帳戶,971,TWD,元大50,971,TWD,,,2026-03-25 06:40:01,2F249E71-E637-4FD8-A841-B265454C7B3D
20260324,郵局,2810,TWD,國泰數位帳戶,2810,TWD,,,2026-03-24 19:11:14,45625137-0EB0-4573-BF74-1C1860A8FFBF
20260324,國泰子帳戶,1446,TWD,CUBE COMBO,1446,TWD,,自動繳款[2月09日〜3月08日],2026-03-25 06:35:27,1889344C-C0C7-4CCB-BDAD-6078DA84DC2A
20260323,Bankee,66000,TWD,國泰子帳戶,66000,TWD,,,2026-03-23 10:41:41,17095BE4-3A1E-4D75-BACB-82C0685D86A9
20260323,Bankee,3914,TWD,BT21,3914,TWD,,自動繳款[2月07日〜3月06日],2026-04-22 21:11:41,285BDEE5-C8BC-44F2-BA74-361277D8CFD4
20260321,錢包,600,TWD,郵局,600,TWD,,曾馬丁涮乃葉代付,2026-03-21 20:37:04,9D49D3B5-E648-42D1-831E-2EA59D10FBAC
20260319,國泰子帳戶,54,TWD,兆豐藍籌,54,TWD,,,2026-03-19 19:34:58,E7715642-3E31-4D58-89A8-EB8550B8B477
20260319,國泰子帳戶,536,TWD,元大50,536,TWD,,,2026-03-19 19:34:38,1BFED44B-19F8-40C0-9232-F328BDB3299A
20260318,郵局,5000,TWD,國泰子帳戶,5000,TWD,,,2026-03-18 10:37:38,7F7EF1B3-A8BA-46A1-8B17-4D9432180E0D
20260318,國泰子帳戶,600,TWD,國泰數位帳戶,600,TWD,,,2026-03-18 10:32:26,98CDB80F-35C7-479E-9265-FCEB3429934C
20260317,國泰子帳戶,537,TWD,元大50,537,TWD,,,2026-03-18 10:06:05,1041772E-3223-422B-80AE-52DD6AB79AEE
20260317,Bankee,1000,TWD,錢包,1000,TWD,,,2026-03-17 23:49:20,49CE6DA3-9EA0-4EB3-ADAF-1610A088CF2C
20260314,CUBE COMBO,500,TWD,點點卡,500,TWD,,,2026-04-01 00:22:09,B5AD6B2B-2559-4E95-A576-CBADECCF9E24
20260312,國泰子帳戶,1534,TWD,元大50,1534,TWD,,,2026-03-18 10:06:39,120D78E3-9AC0-4AD8-A593-90EEA9C15D43
20260310,國泰子帳戶,571,TWD,群益台灣50,571,TWD,,,2026-03-12 12:28:17,E79664BA-D67C-49CD-A997-95DD1A7B76CF
20260310,郵局,10880,TWD,Bankee,10880,TWD,,,2026-03-10 20:02:54,CBD2B57C-0125-46F6-A915-526E67E5BB15
20260310,Bankee,2000,TWD,錢包,2000,TWD,,,2026-03-10 19:52:22,823F7542-3688-45B1-B10F-D763F58AAA77
20260309,國泰子帳戶,584,TWD,元大50,584,TWD,,,2026-03-12 12:28:42,8A9A16D0-E6F1-427D-883C-DEDB6D2C95FB
20260309,國泰子帳戶,28,TWD,群益台灣50,28,TWD,,,2026-03-09 20:08:07,C55A3191-43F0-43CF-AB97-9954C11D0B2B
20260303,國泰子帳戶,4033,TWD,CUBE COMBO,4033,TWD,,自動繳款[1月09日〜2月08日],2026-03-03 08:50:09,D22F4FF5-1C87-42AE-94E2-49603251ED0D
